Id,Text,Sentiment,% of sentiment,Senti_rate
20968,@RockSolidShow @Pat_Francis #revolting cocks if you think I'm,fear,0.292,1
10334,I'm not used to pretty girls that use curse words to express their anger. I just feel like I'm a little bit surprised and turned off as,anger,0.542,0
20260,ugh!! this is the worst!! i didn't read at all this whole first month of school and i have a unit test on friday!!! awe,fear,0.646,1
40297,Think Val might be going this week. I'll have to take the rest of the week off work to mourn. I'm sure they'll understand.,sadness,0.562,2
40396,"Literally had a guy (a some-would-say-successful guy) tell me 'this ship will sail' kay guy, first, you're working with a sub, last, it",sadness,0.479,2
20883,@NandosSA just received order from @OrderInSA &amp; the chips are under cooked &amp; half raw!!! Usually best part of the meal,fear,0.336,1
30549,@TChudhry @fasiranjha lol @ ur caste. even if the whole village dies.. a massali like you cant be a chaudhry:) so cheer up massali,joy,0.396,3
40364,"if you have been on depression too u shouldn't be judging him and exposing him to everyone, but helping",sadness,0.52,2
30415,It has been medically proven that laughter is an effective pain,joy,0.48,3
10605,My husband found out there are other rabid hockey fans like me as we waited in line 4 of the 6 window stickers were for SJ NHL/AHL,anger,0.396,0
10666,Why does Candice constantly pout #GBBO,anger,0.375,0
10111,I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn,anger,0.708,0
10844,@Aurena1701 @AngryOrchard he didn't sting me luckily. He just flew off happy and drunk.,anger,0.146,0
20240,I want to slide into the dms but im too fucking shy,fear,0.667,1
30225,"@deadlyjokester *she let out a playful gasp and slowly wrapped her arms around his neck, kissing him",joy,0.62,3
20424,"Americans as a whole are, for the most part, feeling borderline despair at the very least. Looking at a situation out of",fear,0.562,1
10033,Since the 'update' my @iPhone loses power nearly 40% faster.,anger,0.792,0
20405,Shoutout to @VZWSupport for ruining my iPhone 7 order!!,fear,0.562,1
40730,@kcbbcxo don't get discouraged! it's early on &amp; it can get overwhelming. keep reading &amp; use cue cards ðŸ˜Š it'll get,sadness,0.229,2
20704,â€œ My courage always rises at every attempt to intimidate me.â€\n-Elizabeth Bennett (Pride and Prejudice)\n#Quotes #Courage,fear,0.42,1
20235,"@jk_rowling never thought an angry oompa loompa would be my Boggart, but there you have it. #boggart #PresidentTrump",fear,0.667,1
20547,Late night #thoughts. Feeling,fear,0.5,1
20790,@Cory_Bonini AP didn't have a productive week 1 or 1st half against GB and Kalil is horrible! @Vikings D is its strongest asset,fear,0.396,1
40107,Don't wanna go to work but I want the money,sadness,0.729,2
20898,Huns are like a box of coffee revels,fear,0.333,1
10541,I get embarrassed at the slightest things and then I'll fret about it all day I hate,anger,0.438,0
40497,"Sometimes people leave you halfway through the wood. Do not let it grieve you, no one leaves for good. #youarenotalone",sadness,0.417,2
40233,@tgshepherdvan I'm not there yet. Hasn't sunk in yet. Rest,sadness,0.604,2
21145,@annalisewrobel_ awe thank you so much love,fear,0.062,1
21127,Lets start,fear,0.125,1
20881,It's not #dread. It's called,fear,0.34,1
10273,Inpouring this letter we are dying over against subsist checking quaint virtuoso ways toward fine huff yours,anger,0.562,0
10442,"@a_mxe7 hah don't speak to me or my cousin like that, mind a had the displeasure of seeing u bare faced on eh train, no a pretty sight",anger,0.479,0
20548,@hotpatooties more like quickie divorce,fear,0.5,1
20153,"Bloody hell Pam, calm yourself down. But could have sworn something black &amp; hairy just ran across the carpet, #perilsoflivingalone",fear,0.729,1
40572,@marielleblaine8 @princesskeilani I told pine I didn't want it so I didn't have to have,sadness,0.354,2
10289,Fake people irritate,anger,0.562,0
30238,Only Geo is capable of cheering me,joy,0.604,3
20552,If Monday had a face I would punch it #monday #horrible #face #punch #fight #joke #like #firstworldproblems #need #coffee #asap,fear,0.5,1
10637,I was going to say that Rooney is a shadow of his former self but I don't want to offend any shadows.,anger,0.396,0
30605,"Athenian: When mirth is the order of the day, he ought to be honoured most who gives most mirth to the greatest number",joy,0.354,3
10134,How was Natalie one of the top three favorites?! #toofaced and #bitter,anger,0.667,0
40637,I got a short fuse when im,sadness,0.312,2
20719,We Are Source!!\n\n#mindset #philosophy #thoughtsbecomethings #news #lifehacks #fear #you #LIFE #PleaseRT,fear,0.417,1
30214,@AlbertBreer @jetswhispers Be sure and switch it over to cable news -,joy,0.625,3
30651,"@eachus At least he's willing to discuss, better than most. That and keep the insults light with occasional levity or creative",joy,0.32,3
30641,backed pats -2.5 10/11 just,joy,0.32,3
30571,@finkowska just rejoice if you get paid for,joy,0.375,3
40506,I have serious problems with the expectation that private philanthropy should replace functional government services...this is,sadness,0.396,2
20626,"@troyesivan I'm eating sushi, I'm shaking for",fear,0.458,1
30679,You have to find a way to top,joy,0.292,3
20756,"@DeionSandersJr @DeionSanders so bad...Slash prices or send them to refugee camps, like team gear after they lose championships.",fear,0.396,1
40195,Brb going to sulk in bed until,sadness,0.646,2
20462,@realDonaldTrump She blamed Benghazi on a YouTube video. She blamed emails on #ColinPowell. Now she blames #terrorism on you.,fear,0.542,1
40520,"Interview preparation, I hate talking about myself, one dull subject matter!",sadness,0.396,2
10398,When your sister is 19 and throws legitimate temper tantrums just to get,anger,0.5,0
20374,Home is where the heart lies ! Love my little island but my birth city just ain't acting right &amp; im not feeling too good about it,fear,0.583,1
10846,@EagleGiles23 @tgilmore_92 what I,anger,0.146,0
10326,"I am #real #sjw, I will not let #america down\nI have found us, now go and get us\nI let it out and I let it in\nI #rage I",anger,0.542,0
20272,"#ntfc mourinho is worried, bringing Ibra and Rushford on.",fear,0.646,1
10622,@SarahMi40605180 @kaileighhxo sorry to burst the bubble but there was never any illusion,anger,0.396,0
40616,Snores on TL. Boredom sunk,sadness,0.333,2
20810,I saw someone discourage someone from following their dreams. Just because you want to live in mediocrity doesn't mean someone else,fear,0.375,1
20482,a vote for #killary is like sticking a knife in a toaster #shocking,fear,0.521,1
10499,streets of rage 2 was hard to find for a while and then Itunes stepped in and the guys doing the vinyl \nmade it so,anger,0.458,0
30093,Currently listening to @ScottFoxonair &amp; @KatCallaghan @Z1035Toronto podcasts!! Can you guys please move to #yvr ? #hilarious,joy,0.769,3
20473,I saved him after ordering him to risk his life. I didn't panic but stayed calm and rescued,fear,0.54,1
20519,Val is the type of woman you would dread bringing a donation for the bake sale,fear,0.521,1
20833,I just want to say: social media isnâ€™t here to #bully that has to be #stopbullying ! Please be kind to eaxh other!,fear,0.36,1
20954,@corruptmelon now im feeling,fear,0.292,1
40771,"Please bear with me, I'm not Twitter savvyðŸ˜ in real life I'm a Facebook person. Help me gain followers ðŸ¤“ #blog",sadness,0.146,2
20094,ï˜« ughh I just want all this to be over.. it's like a nightmare! can we all just get,fear,0.797,1
40035,I wouldn't wish anxiety and depression even on the worst of people. It's not fun. #anxiety,sadness,0.833,2
10294,"@LynneGarrison yeah, I've only seen that floated online as a theory, it was probably made up by a bitter stan. I ignore pets v vets crap",anger,0.562,0
20164,Biggest #THREAT 2 #GLOBAL #STABILITY? #climatechange #food #water #security #terrorism #russia #war #trump #clinton #geopolitics #korea,fear,0.708,1
40466,@Samkingftw nahh thats,sadness,0.438,2
10705,Skipping meals is the national way of showing #disappointment and .,anger,0.354,0
20985,Good Morning!!!\n\n #leadership #healthcareIT #socialmedia #connector #ceo #writer #AI #EQ #security #bigdata #Growthhacking,fear,0.271,1
10013,"Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages",anger,0.938,0
10377,Think I really broke young bull hurt ðŸ˜‚ðŸ˜‚ðŸ˜­ðŸ˜­ u can tell by how bitter and mad he is,anger,0.521,0
10803,"It takes a man to suffer ignorance and smile. Be yourself, no matter what they say.",anger,0.25,0
30051,Omg. You've got to watch the new series 'This is Us'.....wow. Best tv show I've seen in a long time.\n#tears #laughter,joy,0.827,3
20248,@TeaPartyOrg Hes right when the Civil war starts it will be wall to wall terrorism and i don't fancy the Muzzy's,fear,0.66,1
10565,@SlaveGuinevere its more of a little prick than a sting .......... but you have to come to Tennessee to get,anger,0.417,0
10690,"-- haired man strides close and watches as the Major flinches away from him, the reaction draws a growl from his throat. --",anger,0.322,0
40255,@chocorobos I have this one so I'm not so sad.. but,sadness,0.583,2
10826,Drop Snapchat names #bored #swap,anger,0.188,0
10298,Candace &amp; her pout are getting right on my tits,anger,0.562,0
30572,her; i want a playful relationship\nme; *kicks her off the,joy,0.375,3
30548,"@EtherealMystic_ - felt like he couldn't control â€” and here she was, giving so much of herself, selflessly pleasing him. His groans were",joy,0.396,3
30701,@Dubai92 try asking for a cheeseburger with only onion &amp; mustard at any,joy,0.271,3
40062,Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!!,sadness,0.771,2
20157,It's 5:55am. I'm hungry but there is no food.,fear,0.723,1
20364,Georgia Tech's Secondary is as soft as a marshmallow.,fear,0.583,1
40425,went to Pet Supplies Plus tonight but @neitzkeamara was not working I feel #lost and,sadness,0.458,2
20460,"@Relaqss I know she did horrible shit, but it wouldn't make anything better in the end, but your",fear,0.542,1
20299,@NinjaWorrier @ali_zimmer @m_pattison How long ago was that? (I shudder to,fear,0.625,1
10785,@_Inferno217_ @PaladinsGame ummm that dragons fury,anger,0.271,0
10068,can't believe Achilles killed me!,anger,0.75,0
30211,@chrisrock brings back great memories of hilarity on,joy,0.64,3
10604,@everycolorbot more like every color looks the same #triggered,anger,0.396,0
40677,When you get lost in a neighborhood and have to use the gps on your phone to find your way out. #lost #GoogleMaps,sadness,0.271,2
21076,Ellie from @myspanishboots is here to answer your questions! Don't be shy - she loves talking about #equestrian fashion ;-),fear,0.208,1
30796,@berniedole looks that way. But let's think about Rohan last week,joy,0.131,3
10463,Be chill af if you want to offend,anger,0.479,0
40499,"What's a Kali's kitten? [She asked, a frown curling on her fair skinned forehead as he showed her the scar] A cat did -",sadness,0.417,2
30132,TheNiceBot: WSJNordics You make the world a more joyful place. #TheNiceBot,joy,0.708,3
20210,I hate having ideas but being too afraid to share them,fear,0.688,1
21043,Round 2,fear,0.229,1
20269,@DaniQays @AJENews ohh.. so here comes sense from terror supporting stone pelting vandalizing ppl who gather b4 protests to announce,fear,0.646,1
20189,"bad news fam, life is still hard and awful #depression",fear,0.688,1
20631,"@DSDambuster just finally started #homefronttherevolution, what did you all do the story and gameplay??? #terrible",fear,0.458,1
10016,@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is,anger,0.854,0
30525,I am always ready to,joy,0.407,3
20068,im literally shaking bc im nervous and bc its fucking cold oh how i love,fear,0.833,1
30339,"@PersephoneOD Her cheerful voice echoed through the grand, familiar home, a smile blossoming on my rosy brims, 'Mom.' I reciprocated the",joy,0.537,3
10531,Paul forever. Paul should have won! Paul played such a better game!,anger,0.438,0
20413,In dire need of a worship session to just let go of,fear,0.562,1
40562,"AQW should've always stayed in the 08 art style, now it's just a competition to create more detailed art each",sadness,0.354,2
30071,It's funny that everyone came in my life as they like how far I'm cheerful and self confident could make me 3abla kaml fg2a kda,joy,0.792,3
40408,@lebara - worst possible decision I could have made when arriving in the UK. Shocking service. Poor,sadness,0.479,2
40383,"236:416 While she was in her dull and sleeping hour,\nA crew of patches, rude",sadness,0.5,2
20974,@1NatalieMaines Can you imagine being the person who has to spray tan,fear,0.28,1
10017,"I hate my lawn mower. If it had a soul, I'd condemn it to the fiery pits of",anger,0.833,0
21101,#start ur day wit a,fear,0.167,1
30231,Ryan Gosling and Eva Mendes finally ; B joyful an funny/dont boss/dont argue/do everything with kids/go on mini car trips/ focus on,joy,0.62,3
10313,"@aroseblush Hello !\nThe bigger the bully, the more crocodile tears. Bullies always act like offended",anger,0.542,0
30787,@debutemma I dont have to sit here and take this from u spry young,joy,0.146,3
10145,How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off.,anger,0.833,0
40598,@BookOfKaells @quennell3_ no,sadness,0.333,2
10613,"Y'all really insult coz of soccer??? Lmao,",anger,0.396,0
10421,@cxmbeferre so you WOULDNT date me?????,anger,0.494,0
20056,"What a shamefull, unequal, dangerous and worrying world we live in nowadays! #terrifying #Charlotte #terrorism",fear,0.854,1
20668,Who likes #werewolves and #horror and #surfing? Because BREAKER over on @readstela has all that and,fear,0.438,1
10286,"@AllegedLowbrow It's 'Eye-for-Eye'. Indian Army never forgives, Never Forgets. They always take revenge, Pakistan breaks laws, I.A",anger,0.562,0
40020,@Ashleyavitia_ don't leave me,sadness,0.875,2
30646,"@AdamCimmering Boro are at the OS before then, they could give the stewards a good work out. Chelsea will get about 8k, will be",joy,0.32,3
10025,Actually fuming I have nothing to wear,anger,0.792,0
20120,Just had to reverse half way up the woods to collect the dog n I've never even reverse parked in my life ðŸ™„,fear,0.771,1
20688,"#Charlotte's #young &amp; #restless; I applaud ur fire bt always b respectful of authority, police, elders, parents. Violence, not the way",fear,0.438,1
21009,@DreKnott You've got tremendous,fear,0.271,1
20775,"A liar an a bully for president? They say every vote matter , well I'm sorry you'll not get my vote until the year",fear,0.396,1
20793,"Fear blocks blessings, faith unlocks them. #ManUp #fear",fear,0.388,1
20394,"@NFYFC @Wilkster_ hmm, don't know many yf who are short on confidence! Wish I'd been one,",fear,0.562,1
30114,Happy birthday @iRidhiDogra keep smiling always.Wishing you a wonderful year ahead,joy,0.74,3
21070,"Yo Yo Yo,my name is #DarthVader \nI feel like I need to puff on my inhaler (I'm no rapper but that was some sick bars) #breathless #bars",fear,0.208,1
30487,Check out this #film Robocoq 301 #animated,joy,0.44,3
30445,@LoriAlan1 Seriously. Digging those,joy,0.479,3
20089,@MrsCassonC @15_jordyn WAS THERE A CLOWN IN YOUR NEIGHBORHOOD? #nightmare #creepy,fear,0.812,1
20298,"@JennyPGR I worry about typos in any email to Simon, draft attached or",fear,0.625,1
20908,That free kick from Rooney was,fear,0.333,1
10557,I believe women are more fiery because once a month they go through struggle and struggle is what develops a strong,anger,0.417,0
30614,#hate going to the doctor on so many levels but least I can go sleep with a #smile just watched #Dwight on live,joy,0.34,3
10249,"You will never find someone who loved you like I did. And that my love, will be my",anger,0.583,0
10031,@VodafoneUKhelp @VodafoneUK wow!! My bill is Â£44.77 and hav a text from u to prove that and you have taken Â£148!!!!! #swines #fuming,anger,0.792,0
40055,Too many gloomy,sadness,0.792,2
20013,#panic Panic attack from fear of starting new,fear,0.917,1
20320,@carlybigelow13 first you take the room now you wanna beat me up,fear,0.604,1
20387,"Tomorrow is going to be a challenge, I have to talk at a freshers fair to STRANGERS ðŸ˜and pick up my new flat",fear,0.58,1
10245,Can someone make me a priority list of which things I should be outraged at + in which order? #outrage #racism #animalrights #abortion,anger,0.583,0
10266,I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop,anger,0.562,0
30368,@sportinglifecan I keep a down vest or sweater in my pack year round! Helps on chilly mornings or breezy mountain tops!,joy,0.52,3
20102,I dread this drive every Wednesday,fear,0.792,1
40762,"@GOP she's ahead in the polls &amp; after Trumps dismal performance at upcoming debate, it will be an easy win for",sadness,0.174,2
20806,New play through tonight! Pretty much a blind run. Only played the game once and maybe got 2 levels it.,fear,0.375,1
10718,"@ShieldsCap &lt; Steve between his feet, feeling a blush sting his cheeks. 'I can undress myself, thank you very much,' he snapped",anger,0.333,0
40728,now playing yung fav song ni chavs #sober,sadness,0.229,2
10570,Controlling #anger is a sign of those #righteous people promised #Paradise in the #Quran in Surah Al Imran verses 133-134 #reward,anger,0.417,0
10105,You complain all the time and then wonder why people never want to see you. You acc rile me up.,anger,0.708,0
40565,@m_giacchino will this be aired on radio or filmed? Lots of fans over the pond too! #wales,sadness,0.354,2
10182,@canada4trumpnow @donlemon he has BAD TEMPERAMENT #tantrums,anger,0.646,0
40354,@chelseafc let them know it's the,sadness,0.521,2
20466,Bayern Munich pitch is,fear,0.542,1
40621,Jay Z and Brad Pitt cheated ..Bey stayed Angie left #cheaters #love #lust #sex #couples #relationships #date #marriage,sadness,0.32,2
30306,Look forward to the detours because they bring delightful surprises. #lifequote,joy,0.56,3
10197,@DPD_UK I asked for my parcel to be delivered to a pick up store not my address,anger,0.625,0
20891,@Joey7Barton I remember Joey slagging England player's off bringing out books after crap tournaments..same same..crap,fear,0.333,1
21059,I was having a good dream.. and then my alarm went,fear,0.229,1
20615,India wants to #shake #hands with # pakistan ..... but as usual pakistan #cheat with every #indian \n\n..........shameless,fear,0.458,1
30484,Possible magazines over against put with versus thy joviality conjunction shower quotient sufficiently:,joy,0.44,3
20783,Did you know I specialise in #anxiety and #panic attacks? Get in touch for all of my solutions for you.,fear,0.396,1
30730,"@NebulaJoker No, they aren't. Episodes are animated during the week before they",joy,0.231,3
20262,"jimmy_dore: RaisingTheBoss we've already lost our country and our government to oligarchs, but their fear tactics still work it",fear,0.646,1
20343,Round 2 #panic,fear,0.604,1
20672,This week's Massacre Theatre pert by @LarsenOnFilm is the first one I can think of that requires subtitles.,fear,0.438,1
20843,When someone tells you they're going to 'tear you apart' and all they have to say is 'why are you so,fear,0.354,1
20565,@1NatalieMaines Can you imagine being the person who has to spray tan him?,fear,0.491,1
40235,@ImpugnValkyrie *I frown and cup your cheeks in my hands after you step aside.* Angela I care about you. And I don't know how else I can,sadness,0.604,2
30728,#LMFAO @MSNBC 's #racepimp Tamron Hall used the words 'fscts' and 'MSNBC' in the same sentence #libtard #biasedmedia,joy,0.231,3
20717,@metrotrains why is there no disabled access at pontefract,fear,0.417,1
10149,@tmz @HarveyLevinTMZ Hell hath no fury like a women scorned. It's the affair. Not the,anger,0.667,0
30297,@MoAmali @awosss @Arsenalman2011 listen I dn't subscribe to this team coq Team xhaka stuff. I like all our players. Depth has me,joy,0.562,3
30248,There is something v satisfying about opening an old 'to do'.doc file and being able to check off all the things you have,joy,0.602,3
10731,@EAMaddenNFL @EASPORTS I played a game where John Elway was sacked 3x and fumbled all 3x. Is this the same John elway I know,anger,0.333,0
20022,@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project.,fear,0.896,1
40540,@RossKemp great programme tonight #upsetting,sadness,0.375,2
20698,"@NFYFC @Wilkster_ hmm, don't know many yf who are short on confidence! Wish I'd been",fear,0.431,1
30246,*violently screams at the four winds* WE AINT EVER GETTING OLDER *cute jovial rhythm starts* *moves hips along and waves arms in the,joy,0.604,3
30000,Just got back from seeing @GaryDelaney in Burslem. AMAZING!! Face still hurts from laughing so much,joy,0.98,3
30800,"As the birds begin to chirp, I try to sleep.",joy,0.12,3
10310,"@DouthatNYT @jbouie @DamonLinker Yes, it is bad to point out racism lest it provoke the racists. Some racists do indeed not like",anger,0.542,0
30677,"Sometimes he likes to ride arround on people's shoulders or drop on them unexpectedly from vents or doorjambs. Like a big, gleeful",joy,0.292,3
10689,my wasp sting is so,anger,0.356,0
21111,"mattmilne76 Thank you for letting us know! Please do not hesitate to contact us in the future, if our assistance is needed. Thank",fear,0.146,1
40777,@EBled2 Great to have you as our tournament chair and award was,sadness,0.132,2
30395,"Charlotte and a friend just climbed to the top of a windmill! Think the view was easy, breezy, beautiful?",joy,0.5,3
20910,"Wazza blocks Carrick's shot and then misses a sitter that Memphis, who was ready beside him, surely wouldve buried. Good start lol",fear,0.333,1
20542,We express our deep concern about the suspension of @MohammedSomaa01 please reactivate it. he never violated T.roles,fear,0.5,1
40021,Depression,sadness,0.875,2
40045,Well my evaluation came back and i am minimally effective. Student test scores on the PARCC sunk my eval. it's time for me to quit,sadness,0.812,2
20200,@katlute which one....the one where u threaten violence? Or the phedophiliac u support? Or the constitution violations he,fear,0.688,1
10518,Paul forever. Paul should have won! Paul played such a better game! #BB18,anger,0.466,0
10020,Making my buddy cry !! Bitch wait for revenge,anger,0.812,0
